x,y
1.000000000000000000e+00,1.583443941096751009e-03
9.999376947588286546e-01,1.596023463368482056e-03
9.997507945630869086e-01,1.633766763924777423e-03
9.994393459922217282e-01,1.696687828555224539e-03
9.990034266657467077e-01,1.784809254058765827e-03
9.984431452238966553e-01,1.898161197267231185e-03
9.977586413005529176e-01,2.036779939849892637e-03
9.969500854884438823e-01,2.200706104088039159e-03
9.960176792966288772e-01,2.389982563480338041e-03
9.949616551002785636e-01,2.604652099715214220e-03
9.937822760827619284e-01,2.844754864049826165e-03
9.924798361700553073e-01,3.110325706310345870e-03
9.910546599574902027e-01,3.401391438452921676e-03
9.895071026288572158e-01,3.717968101804465346e-03
9.878375498678868549e-01,4.060058307675489322e-03
9.860464177621284243e-01,4.427648719978371367e-03
9.841341526992535282e-01,4.820707745800436629e-03
9.821012312558058399e-01,5.239183495618913652e-03
9.799481600784284430e-01,5.683002069076978878e-03
9.776754757575973898e-01,6.152066215083371557e-03
9.752837446938913413e-01,6.646254406590695017e-03
9.727735629568334819e-01,7.165420360919546455e-03
9.701455561363376834e-01,7.709393026124750949e-03
9.674003791867991087e-01,8.277977042857324191e-03
9.645387162638652256e-01,8.870953679698858826e-03
9.615612805539303087e-01,9.488082228273006513e-03
9.584688140963942837e-01,1.012910183282770410e-02
9.552620875987311022e-01,1.079373371768093705e-02
9.519419002444117206e-01,1.148168376518535726e-02
9.485090794937317549e-01,1.219264538693146105e-02
9.449644808775901073e-01,1.292630262200693964e-02
9.413089877842735209e-01,1.368233338846599513e-02
9.375435112392968007e-01,1.446041280792926056e-02
9.336689896783572085e-01,1.526021651858716632e-02
9.296863887134559912e-01,1.608142388895159730e-02
9.255967008922472150e-01,1.692372104358463164e-02
9.214009454506751906e-01,1.778680361279178293e-02
9.171001680589587757e-01,1.867037912092497920e-02
9.126954405609881693e-01,1.957416893247807682e-02
9.081878607071995901e-01,2.049790968152620171e-02
9.035785518809926753e-01,2.144135411816676384e-02
8.988686628187596561e-01,2.240427131533550067e-02
8.940593673235961436e-01,2.338644619053581106e-02
8.891518639727649109e-01,2.438767830943907103e-02
8.841473758189852816e-01,2.540777995176651816e-02
8.790471500856227305e-01,2.644657343410383374e-02
8.738524578558546363e-01,2.750388769906301004e-02
8.685645937558894580e-01,2.857955419521273493e-02
8.631848756323197147e-01,2.967340208715905925e-02
8.577146442236855961e-01,3.078525284978262180e-02
8.521552628263360241e-01,3.191491431463125417e-02
8.465081169546658790e-01,3.306217424955297524e-02
8.407746139958167664e-01,3.422679356455628208e-02
8.349561828589274759e-01,3.540849924735754717e-02
8.290542736190187334e-01,3.660697714089071464e-02
8.230703571556048370e-01,3.782186468201170076e-02
8.170059247861193308e-01,3.905274372556723217e-02
8.108624878942475300e-01,4.029913358078201363e-02
8.046415775532583803e-01,4.156048438746051676e-02
7.983447441444280201e-01,4.283617095775139189e-02
7.919735569706529699e-01,4.412548720517443096e-02
7.855296038653474255e-01,4.542764127630288806e-02
7.790144907967200272e-01,4.674175149200478219e-02
7.724298414675350166e-01,4.806684319459596927e-02
7.657772969104506000e-01,4.940184658481393265e-02
7.590585150790387647e-01,5.074559561837441862e-02
7.522751704345886914e-01,5.209682801626479287e-02
7.454289535287967894e-01,5.345418642611695498e-02
7.385215705824448307e-01,5.481622075428072005e-02
7.315547430601738732e-01,5.618139166989123690e-02
7.245302072414598893e-01,5.754807526361676445e-02
7.174497137878964592e-01,5.891456882521911576e-02
7.103150273068919995e-01,6.027909768588698980e-02
7.031279259118944358e-01,6.163982305384640981e-02
6.958902007792464595e-01,6.299485075533338418e-02
6.886036557017879423e-01,6.434224077792678742e-02
6.812701066393122007e-01,6.568001749977683823e-02
6.738913812659912406e-01,6.700618047666721810e-02
6.664693185148804488e-01,6.831871564934875740e-02
6.590057681196190842e-01,6.961560682635128949e-02
6.515025901534363673e-01,7.089484729267170326e-02
6.439616545655831858e-01,7.215445139243745198e-02
6.363848407153015474e-01,7.339246593391754447e-02
6.287740369034482413e-01,7.460698126809700570e-02
6.211311399018915047e-01,7.579614189740271901e-02
6.134580544807950453e-01,7.695815647898487932e-02
6.057566929339094353e-01,7.809130709707221007e-02
5.980289746019890051e-01,7.919395769116334416e-02
5.902768253944511434e-01,8.026456154096234252e-02
5.825021773093995714e-01,8.130166772475937165e-02
5.747069679521303875e-01,8.230392648511429543e-02
5.668931400522394526e-01,8.327009345389788098e-02
5.590626409794539065e-01,8.419903270765671799e-02
5.512174222583066108e-01,8.508971864353541414e-02
5.433594390817753084e-01,8.594123668526200410e-02
5.354906498240078472e-01,8.675278284761754610e-02
5.276130155522540388e-01,8.752366220601690006e-02
5.197284995381263872e-01,8.825328633498606690e-02
5.118390667683120343e-01,8.894116979510841015e-02
5.039466834548564922e-01,8.958692576213819758e-02
4.960533165451432858e-01,9.019026090417420205e-02
4.881609332316879657e-01,9.075096962283156488e-02
4.802715004618736128e-01,9.126892778205128454e-02
4.723869844477459057e-01,9.174408605341310974e-02
4.645093501759919308e-01,9.217646300947189564e-02
4.566405609182245251e-01,9.256613809667976756e-02
4.487825777416932782e-01,9.291324461690038394e-02
4.409373590205459825e-01,9.321796284142383482e-02
4.331068599477604364e-01,9.348051337386896475e-02
4.252930320478695014e-01,9.370115086857463971e-02
4.174978226906002621e-01,9.388015819924019900e-02
4.097231746055488566e-01,9.401784115892954097e-02
4.019710253980109393e-01,9.411452375738903198e-02
3.942433070660904537e-01,9.417054416527430305e-02
3.865419455192049547e-01,9.418625133767177804e-02
3.788688600981083288e-01,9.416200233161137190e-02
3.712259630965515922e-01,9.409816031447845730e-02
3.636151592846983971e-01,9.399509324272019295e-02
3.560383454344167031e-01,9.385317317339662846e-02
3.484974098465636327e-01,9.367277615531509338e-02
3.409942318803809158e-01,9.345428263206352615e-02
3.335306814851193291e-01,9.319807827655306187e-02
3.261086187340087594e-01,9.290455516598794539e-02
3.187298933606876883e-01,9.257411319776073788e-02
3.113963442982119467e-01,9.220716164083712918e-02
3.041097992207534295e-01,9.180412071391023943e-02
2.968720740881054532e-01,9.136542308108369648e-02
2.896849726931078894e-01,9.089151515813904958e-02
2.825502862121034298e-01,9.038285812755465776e-02
2.754697927585397776e-01,8.983992856830885776e-02
2.684452569398261268e-01,8.926321861699607063e-02
2.614784294175551138e-01,8.865323558973667306e-02
2.545710464712032106e-01,8.801050100953200506e-02
2.477248295654112531e-01,8.733554900082084183e-02
2.409414849209611797e-01,8.662892403170452393e-02
2.342227030895492890e-01,8.589117800424396487e-02
2.275701585324647058e-01,8.512286671399255100e-02
2.209855092032799173e-01,8.432454572107701829e-02
2.144703961346525745e-01,8.349676569621126976e-02
2.080264430293467526e-01,8.264006732557657720e-02
2.016552558555720354e-01,8.175497587804013422e-02
1.953584224467415642e-01,8.084199555626069011e-02
1.891375121057524145e-01,7.990160376940648457e-02
1.829940752138806137e-01,7.893424547904770439e-02
1.769296428443949964e-01,7.794032778092291336e-02
1.709457263809811556e-01,7.692021489335061635e-02
1.650438171410723021e-01,7.587422372778274138e-02
1.592253860041831226e-01,7.480262021813378903e-02
1.534918830453340655e-01,7.370561658289251361e-02
1.478447371736639759e-01,7.258336968752676643e-02
1.422853557763143484e-01,7.143598066428707982e-02
1.368151243676802298e-01,7.026349593223947532e-02
1.314354062441104865e-01,6.906590974232515445e-02
1.261475421441454192e-01,6.784316835063762541e-02
1.209528499143772695e-01,6.659517589819038963e-02
1.158526241810146074e-01,6.532180204754783892e-02
1.108481360272349225e-01,6.402289139620433167e-02
1.059406326764038009e-01,6.269827465398360167e-02
1.011313371812402884e-01,6.134778153749835539e-02
9.642144811900738022e-02,5.997125529941886579e-02
