x,y
1.000000000000000000e+00,1.657325289276860136e-03
9.999376947588286546e-01,1.662149845757158887e-03
9.997507945630869086e-01,1.676707082381422367e-03
9.994393459922217282e-01,1.701247023644543921e-03
9.990034266657467077e-01,1.736184125321010721e-03
9.984431452238966553e-01,1.782093914821592179e-03
9.977586413005529176e-01,1.839708323426871234e-03
9.969500854884438823e-01,1.909909745829865097e-03
9.960176792966288772e-01,1.993723872112829198e-03
9.949616551002785636e-01,2.092311346655555734e-03
9.937822760827619284e-01,2.206958317456361295e-03
9.924798361700553073e-01,2.339065947874240017e-03
9.910546599574902027e-01,2.490138970807556987e-03
9.895071026288572158e-01,2.661773372748564744e-03
9.878375498678868549e-01,2.855643301934017008e-03
9.860464177621284243e-01,3.073487300894560750e-03
9.841341526992535282e-01,3.317093969036049878e-03
9.821012312558058399e-01,3.588287165417944867e-03
9.799481600784284430e-01,3.888910865581078798e-03
9.776754757575973898e-01,4.220813789084161202e-03
9.752837446938913413e-01,4.585833916301094992e-03
9.727735629568334819e-01,4.985783013982895279e-03
9.701455561363376834e-01,5.422431289081406508e-03
9.674003791867991087e-01,5.897492289351661393e-03
9.645387162638652256e-01,6.412608167294507437e-03
9.615612805539303087e-01,6.969335421071075690e-03
9.584688140963942837e-01,7.569131222130594944e-03
9.552620875987311022e-01,8.213340434461204390e-03
9.519419002444117206e-01,8.903183424630681589e-03
9.485090794937317549e-01,9.639744755167043919e-03
9.449644808775901073e-01,1.042396284638781589e-02
9.413089877842735209e-01,1.125662068357307852e-02
9.375435112392968007e-01,1.213833763746135185e-02
9.336689896783572085e-01,1.306956245649633017e-02
9.296863887134559912e-01,1.405056747915319100e-02
9.255967008922472150e-01,1.508144410410823533e-02
9.214009454506751906e-01,1.616209954508370655e-02
9.171001680589587757e-01,1.729225488600157415e-02
9.126954405609881693e-01,1.847144444071742789e-02
9.081878607071995901e-01,1.969901641019277533e-02
9.035785518809926753e-01,2.097413481861085116e-02
8.988686628187596561e-01,2.229578269876113239e-02
8.940593673235961436e-01,2.366276648612590863e-02
8.891518639727649109e-01,2.507372157061204046e-02
8.841473758189852816e-01,2.652711894489249295e-02
8.790471500856227305e-01,2.802127287896288149e-02
8.738524578558546363e-01,2.955434954187936489e-02
8.685645937558894580e-01,3.112437648382268204e-02
8.631848756323197147e-01,3.272925288471405236e-02
8.577146442236855961e-01,3.436676046967488546e-02
8.521552628263360241e-01,3.603457498673496434e-02
8.465081169546658790e-01,3.773027813841958039e-02
8.407746139958167664e-01,3.945136985622017117e-02
8.349561828589274759e-01,4.119528080551325411e-02
8.290542736190187334e-01,4.295938500825609296e-02
8.230703571556048370e-01,4.474101247175329282e-02
8.170059247861193308e-01,4.653746171395380105e-02
8.108624878942475300e-01,4.834601207906945308e-02
8.046415775532583803e-01,5.016393574176911119e-02
7.983447441444280201e-01,5.198850930374093043e-02
7.919735569706529699e-01,5.381702489295982217e-02
7.855296038653474255e-01,5.564680068347054032e-02
7.790144907967200272e-01,5.747519076180340747e-02
7.724298414675350166e-01,5.929959427517209059e-02
7.657772969104506000e-01,6.111746380625775188e-02
7.590585150790387647e-01,6.292631292952552413e-02
7.522751704345886914e-01,6.472372291452797854e-02
7.454289535287967894e-01,6.650734855238932264e-02
7.385215705824448307e-01,6.827492309249566516e-02
7.315547430601738732e-01,7.002426228719978163e-02
7.245302072414598893e-01,7.175326755294907100e-02
7.174497137878964592e-01,7.345992826652461560e-02
7.103150273068919995e-01,7.514232322490414784e-02
7.031279259118944358e-01,7.679862130650741414e-02
6.958902007792464595e-01,7.842708138013504415e-02
6.886036557017879423e-01,8.002605151565501951e-02
6.812701066393122007e-01,8.159396755733737405e-02
6.738913812659912406e-01,8.312935112659514125e-02
6.664693185148804488e-01,8.463080712569376329e-02
6.590057681196190842e-01,8.609702081768437487e-02
6.515025901534363673e-01,8.752675456035954871e-02
6.439616545655831858e-01,8.891884427340207564e-02
6.363848407153015474e-01,9.027219571809143306e-02
6.287740369034482413e-01,9.158578066796189965e-02
6.211311399018915047e-01,9.285863304669536578e-02
6.134580544807950453e-01,9.408984510633421061e-02
6.057566929339094353e-01,9.527856371466458807e-02
5.980289746019890051e-01,9.642398681543608296e-02
5.902768253944511434e-01,9.752536011903255309e-02
5.825021773093995714e-01,9.858197407439624194e-02
5.747069679521303875e-01,9.959316116554876863e-02
5.668931400522394526e-01,1.005582935680675999e-01
5.590626409794539065e-01,1.014767811925030572e-01
5.512174222583066108e-01,1.023480701330856391e-01
5.433594390817753084e-01,1.031716415313274626e-01
5.354906498240078472e-01,1.039470108553960381e-01
5.276130155522540388e-01,1.046737275875831569e-01
